Rank;CCA3;Country/Territory;Capital;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (km²);Density (per km²);Growth Rate;World Population Percentage
107;LBY;Libya;Tripoli;Africa;6812341;6653942;6192235;6491988;5154790;4236983;2962720;1909177;1759540;38.717;10.114;0.09
216;LIE;Liechtenstein;Vaduz;Europe;39327;38756;37355;35926;33026;28765;25003;21089;160;2.457.937;10.074;0
141;LTU;Lithuania;Vilnius;Europe;2750055;2820267;2963765;3139019;3599637;3785847;3521206;3210147;65300;421.142;0.9869;0.03
168;LUX;Luxembourg;Luxembourg;Europe;647599;630399;569408;507070;435628;381267;363741;339342;2586;250.425;10.129;0.01
167;MAC;Macau;Concelho de Macau;Asia;695168;676283;615239;557297;431896;350227;245332;247284;30;231.722.667;10.125;0.01
50;MDG;Madagascar;Antananarivo;Africa;29611714;28225177;24850912;21731053;16216431;11882762;8948162;6639751;587041;504.423;10.241;0.37
62;MWI;Malawi;Lilongwe;Africa;20405317;19377061;16938942;14718422;11229387;9539665;6267369;4625141;118484;172.22;10.259;0.26
45;MYS;Malaysia;Kuala Lumpur;Asia;33938221;33199993;31068833;28717731;22945150;17517054;13215707;10306508;330803;1.025.934;10.109;0.43
174;MDV;Maldives;Malé;Asia;523787;514438;435582;361575;282507;224957;164887;123243;300;17.459.567;10.045;0.01
59;MLI;Mali;Bamako;Africa;22593590;21224040;18112907;15529181;11239101;8945026;7372581;6153587;1240192;182.178;10.314;0.28
173;MLT;Malta;Valletta;Europe;533286;515357;456579;418755;399212;365392;333587;315414;316;16.876.139;10.124;0.01
215;MHL;Marshall Islands;Majuro;Oceania;41569;43413;49410;53416;54224;46047;31988;23969;181;229.663;0.9886;0
180;MTQ;Martinique;Fort-de-France;North America;367507;370391;383515;392181;432543;374271;333786;326428;1128;3.258.041;0.9965;0
126;MRT;Mauritania;Nouakchott;Africa;4736139;4498604;3946220;3419461;2695003;2006027;1506694;1122198;1030700;45.951;10.263;0.06
157;MUS;Mauritius;Port Louis;Africa;1299469;1297828;1293153;1283330;1215930;1090290;954865;830115;2040;6.369.946;10.004;0.02
182;MYT;Mayotte;Mamoudzou;Africa;326101;305587;249545;211786;159215;92659;52233;35383;374;8.719.278;10.319;0
10;MEX;Mexico;Mexico City;North America;127504125;125998302;120149897;112532401;97873442;81720428;67705186;50289306;1964375;649.082;10.063;1.6
194;FSM;Micronesia;Palikir;Oceania;114164;112106;109462;107588;111709;98603;76299;58989;702;1.626.268;10.091;0
135;MDA;Moldova;Chisinau;Europe;3272996;3084847;3277388;3678186;4251573;4480199;4103240;3711140;33846;967.026;10.691;0.04
217;MCO;Monaco;Monaco;Europe;36469;36922;36760;33178;32465;30329;27076;24270;2;18234.5;0.9941;0
134;MNG;Mongolia;Ulaanbaatar;Asia;3398366;3294335;2964749;2702520;2450979;2161433;1697780;1293880;1564110;21.727;10.151;0.04
169;MNE;Montenegro;Podgorica;Europe;627082;629048;633966;631044;633324;621442;589324;530268;13812;454.012;0.9988;0.01
230;MSR;Montserrat;Brades;North America;4390;4500;5059;4938;5138;10805;11452;11402;102;430.392;0.9939;0
40;MAR;Morocco;Rabat;Africa;37457971;36688772;34680458;32464865;28554415;24570814;19678444;15274351;446550;83.883;10.103;0.47
48;MOZ;Mozambique;Maputo;Africa;32969517;31178239;26843246;23073723;17768505;13303459;11413587;8411676;801590;411.302;10.278;0.41
26;MMR;Myanmar;Nay Pyi Taw;Asia;54179306;53423198;51483949;49390988;45538332;40099553;33465781;27284112;676578;800.784;10.071;0.68
145;NAM;Namibia;Windhoek;Africa;2567012;2489098;2282704;2099271;1819141;1369011;975994;754467;825615;31.092;10.146;0.03
225;NRU;Nauru;Yaren;Oceania;12668;12315;11185;10241;10377;9598;7635;6663;21;6.032.381;10.125;0
49;NPL;Nepal;Kathmandu;Asia;30547580;29348627;27610325;27161567;24559500;19616530;15600442;12501285;147181;2.075.511;10.171;0.38
71;NLD;Netherlands;Amsterdam;Europe;17564014;17434557;17041107;16617116;15899135;14944548;14130387;13037686;41850;4.196.897;10.036;0.22
185;NCL;New Caledonia;Nouméa;Oceania;289950;286403;283032;261426;221537;177264;148599;110982;18575;156.097;10.075;0
123;NZL;New Zealand;Wellington;Oceania;5185288;5061133;4590590;4346338;3855266;3397389;3147168;2824061;270467;191.716;10.108;0.07
106;NIC;Nicaragua;Managua;North America;6948392;6755895;6298598;5855734;5123222;4227820;3303309;2444767;130373;532.962;10.143;0.09
54;NER;Niger;Niamey;Africa;26207977;24333639;20128124;16647543;11622665;8370647;6173177;4669708;1267000;206.851;10.378;0.33
6;NGA;Nigeria;Abuja;Africa;218541212;208327405;183995785;160952853;122851984;95214257;72951439;55569264;923768;2.365.759;10.241;2.74
232;NIU;Niue;Alofi;Oceania;1934;1942;1847;1812;2074;2533;3637;5185;260;74.385;0.9985;0
56;PRK;North Korea;Pyongyang;Asia;26069416;25867467;25258015;24686435;23367059;20799523;17973650;14996879;120538;2.162.755;10.038;0.33
150;MKD;North Macedonia;Skopje;Europe;2093599;2111072;2107962;2093828;2037936;2044174;1907023;1656783;25713;814.218;0.9954;0.03
210;NFK;Northern Mariana Islands;Saipan;Oceania;49551;49587;51514;54087;80338;48002;17613;10143;464;1.067.909;10.014;0
120;NOR;Norway;Oslo;Europe;5434319;5379839;5190356;4889741;4491202;4241636;4085776;3875546;323802;167.828;10.058;0.07
127;OMN;Oman;Muscat;Asia;4576298;4543399;4191776;2881914;2344253;1804524;1017462;670693;309500;147.861;10.123;0.06
5;PAK;Pakistan;Islamabad;Asia;235824862;227196741;210969298;194454498;154369924;115414069;80624057;59290872;881912;2.674.018;10.191;2.96
222;PLW;Palau;Ngerulmud;Oceania;18055;17972;17794;18540;19726;15293;12252;11366;459;393.355;10.017;0
122;PSE;Palestine;Ramallah;Asia;5250072;5019401;4484614;3992278;3139954;2124609;1453620;1118241;6220;844.063;10.227;0.07
128;PAN;Panama;Panama City;North America;4408581;4294396;3957099;3623617;3001731;2449968;1956987;1516188;75417;584.561;10.132;0.06
93;PNG;Papua New Guinea;Port Moresby;Oceania;10142619;9749640;8682174;7583269;5508297;3864972;3104788;2489059;462840;219.139;10.194;0.13
109;PRY;Paraguay;Asunción;South America;6780744;6618695;6177950;5768613;5123819;4059195;3078912;2408787;406752;166.705;10.115;0.09
44;PER;Peru;Lima;South America;34049588;33304756;30711863;29229572;26654439;22109099;17492406;13562371;1285216;264.933;10.099;0.43
13;PHL;Philippines;Manila;Asia;115559009;112190977;103031365;94636700;77958223;61558898;48419546;37435586;342353;3.375.434;10.147;1.45
37;POL;Poland;Warsaw;Europe;39857145;38428366;38553146;38597353;38504431;38064255;35521429;32482943;312679;1.274.698;10.404;0.5
92;PRT;Portugal;Lisbon;Europe;10270865;10298192;10365435;10588401;10300626;10007346;9785252;8683631;92090;1.115.307;0.9981;0.13
136;PRI;Puerto Rico;San Juan;North America;3252407;3271564;3497335;3717922;3827108;3543776;3214568;2737619;8870;366.675;0.9989;0.04
143;QAT;Qatar;Doha;Asia;2695122;2760385;2414573;1713504;645937;441675;277450;118007;11586;2.326.189;10.026;0.03
114;COG;Republic of the Congo;Brazzaville;Africa;5970424;5702174;5064386;4437884;3134030;2385435;1829256;1396989;342000;174.574;10.231;0.07
161;REU;Reunion;Saint-Denis;Africa;974052;957822;922495;890130;785424;658992;551674;473925;2511;387.914;10.082;0.01
64;ROU;Romania;Bucharest;Europe;19659267;19442038;19906079;20335211;21919876;22836234;22125224;19922618;238391;824.665;10.171;0.25
9;RUS;Russia;Moscow;Europe;144713314;145617329;144668389;143242599;146844839;148005704;138257420;130093010;17098242;84.636;0.9973;1.81
76;RWA;Rwanda;Kigali;Africa;13776698;13146362;11642959;10309031;8109989;7319962;5247532;3896367;26338;5.230.731;10.234;0.17
228;BLM;Saint Barthelemy;Gustavia;North America;10967;10681;9643;8988;7082;5168;2983;2417;21;5.222.381;10.098;0
211;KNA;Saint Kitts and Nevis;Basseterre;North America;47657;47642;47790;47403;45461;40636;43097;44968;261;1.825.939;10.011;0
190;LCA;Saint Lucia;Castries;North America;179857;179237;175623;170935;159500;142301;121633;103090;616;2.919.756;10.011;0
220;MAF;Saint Martin;Marigot;North America;31791;32552;35020;36458;29610;28127;7776;5802;53;5.998.302;0.9951;0
229;SPM;Saint Pierre and Miquelon;Saint-Pierre;North America;5862;5906;5978;6052;6274;6324;6106;5537;242;242.231;0.9964;0
199;VCT;Saint Vincent and the Grenadines;Kingstown;North America;103948;104632;106482;109308;113813;112487;107480;98459;389;2.672.185;0.9963;0
188;WSM;Samoa;Apia;Oceania;222382;214929;203571;194672;184008;168186;164905;142771;2842;782.484;10.165;0
218;SMR;San Marino;San Marino;Europe;33660;34007;33570;31608;26823;23132;21346;18169;61;5.518.033;0.9975;0
187;STP;Sao Tome and Principe;São Tomé;Africa;227380;218641;201124;182138;143714;120343;97210;77583;964;2.358.714;10.192;0
41;SAU;Saudi Arabia;Riyadh;Asia;36408820;35997107;32749848;29411929;21547390;16004763;10171710;6106191;2149690;169.368;10.128;0.46
72;SEN;Senegal;Dakar;Africa;17316449;16436119;14356181;12530121;9704287;7536001;5703869;4367744;196722;88.025;10.261;0.22
105;SRB;Serbia;Belgrade;Europe;7221365;7358005;7519496;7653748;7935022;7987529;7777010;7193533;88361;817.257;0.9897;0.09
196;SYC;Seychelles;Victoria;Africa;107118;105530;99240;92409;80060;71057;65290;54379;452;2.369.867;10.061;0
102;SLE;Sierra Leone;Freetown;Africa;8605718;8233969;7314773;6436698;4584067;4325388;3367477;2778557;71740;119.957;1.022;0.11
113;SGP;Singapore;Singapore;Asia;5975689;5909869;5650018;5163590;4053602;3022209;2400729;2061831;710;84.164.634;10.058;0.07
214;SXM;Sint Maarten;Philipsburg;North America;44175;43621;40205;33034;30489;27845;12243;6260;34;12.992.647;1.003;0
116;SVK;Slovakia;Bratislava;Europe;5643453;5456681;5424444;5396424;5376690;5261305;4973883;4522867;49037;1.150.856;10.359;0.07
148;SVN;Slovenia;Ljubljana;Europe;2119844;2117641;2080862;2057286;1984339;1986024;1901570;1741286;20273;1.045.649;10.002;0.03
166;SLB;Solomon Islands;Honiara;Oceania;724273;691191;612660;540394;429978;324171;233668;172833;28896;250.648;10.232;0.01
70;SOM;Somalia;Mogadishu;Africa;17597511;16537016;13763906;12026649;8721465;6999096;5892224;3720977;637657;275.971;10.312;0.22
24;ZAF;South Africa;Pretoria;Africa;59893885;58801927;55876504;51784921;46813266;39877570;29463549;22368306;1221037;490.517;10.084;0.75
29;KOR;South Korea;Seoul;Asia;51815810;51844690;50994401;48813042;46788591;44120039;38170501;32601143;100210;5.170.722;0.9997;0.65
86;SSD;South Sudan;Juba;Africa;10913164;10606227;11194299;9714419;6114440;4750817;4192011;3342410;619745;176.091;10.153;0.14
30;ESP;Spain;Madrid;Europe;47558630;47363807;46431342;46572772;40741651;38889889;37491666;33792617;505992;939.909;10.015;0.6
61;LKA;Sri Lanka;Colombo;Asia;21832143;21715079;21336697;20668557;18776371;17204094;14943645;12388769;65610;3.327.563;10.027;0.27
32;SDN;Sudan;Khartoum;Africa;46874204;44440486;38171178;33739933;26298773;21090886;16673586;11305206;1886068;248.529;10.267;0.59
170;SUR;Suriname;Paramaribo;South America;618040;607065;575475;546080;478998;412756;375112;379918;163820;37.727;10.082;0.01
87;SWE;Sweden;Stockholm;Europe;10549347;10368969;9849349;9381729;8871043;8548406;8311763;8027702;450295;234.276;10.079;0.13
101;CHE;Switzerland;Bern;Europe;8740472;8638613;8281732;7822435;7182059;6711693;6319113;6181227;41284;2.117.157;10.056;0.11
60;SYR;Syria;Damascus;Asia;22125249;20772595;19205178;22337563;16307654;12408996;8898954;6319199;185180;1.194.797;10.376;0.28
57;TWN;Taiwan;Taipei;Asia;23893394;23821464;23512136;23083083;22194731;20586174;18100281;14957870;36193;6.601.662;10.014;0.3
95;TJK;Tajikistan;Dushanbe;Asia;9952787;9543207;8524063;7621779;6272998;5417860;4045965;2993019;143100;695.513;10.208;0.12
22;TZA;Tanzania;Dodoma;Africa;65497748;61704518;52542823;45110527;34463704;26206012;19297659;13618192;945087;693.034;1.03;0.82
20;THA;Thailand;Bangkok;Asia;71697030;71475664;70294397;68270489;63066603;55228410;45737753;35791728;513120;1.397.276;10.013;0.9
155;TLS;Timor-Leste;Dili;Asia;1341296;1299995;1205813;1088486;878360;758106;642224;554021;14874;901.772;10.154;0.02
100;TGO;Togo;Lomé;Africa;8848699;8442580;7473229;6571855;5008035;3875947;2838110;2197383;56785;1.558.281;10.236;0.11
233;TKL;Tokelau;Nukunonu;Oceania;1871;1827;1454;1367;1666;1669;1647;1714;12;1.559.167;10.119;0
197;TON;Tonga;Nuku‘alofa;Oceania;106858;105254;106122;107383;102603;98727;96708;86484;747;1.430.495;10.079;0
153;TTO;Trinidad and Tobago;Port-of-Spain;North America;1531044;1518147;1460177;1410296;1332203;1266518;1127852;988890;5130;2.984.491;10.035;0.02
79;TUN;Tunisia;Tunis;Africa;12356117;12161723;11557779;10895063;9893316;8440023;6578156;5047404;163610;755.218;10.076;0.15
18;TUR;Turkey;Ankara;Asia;85341241;84135428;79646178;73195345;64113547;54324142;44089069;35540990;783562;1.089.145;10.067;1.07
111;TKM;Turkmenistan;Ashgabat;Asia;6430770;6250438;5766431;5267970;4569132;3720278;2862903;2201432;488100;131.751;1.014;0.08
212;TCA;Turks and Caicos Islands;Cockburn Town;North America;45703;44276;36538;29726;18744;11709;7598;5665;948;482.099;10.131;0
227;TUV;Tuvalu;Funafuti;Oceania;11312;11069;10877;10550;9638;9182;7731;5814;26;4.350.769;10.096;0
31;UGA;Uganda;Kampala;Africa;47249585;44404611;37477356;32341728;24020697;17586630;13284026;10317212;241550;195.61;10.304;0.59
38;UKR;Ukraine;Kiev;Europe;39701739;43909666;44982564;45683020;48879755;51589817;49973920;47279086;603500;657.858;0.912;0.5
97;ARE;United Arab Emirates;Abu Dhabi;Asia;9441129;9287289;8916899;8481771;3275333;1900151;1014048;298084;83600;1.129.322;10.081;0.12
21;GBR;United Kingdom;London;Europe;67508936;67059474;65224364;62760039;58850043;57210442;56326328;55650166;242900;2.779.289;10.034;0.85
3;USA;United States;Washington, D.C.;North America;338289857;335942003;324607776;311182845;282398554;248083732;223140018;200328340;9372610;360.935;10.038;4.24
200;VIR;United States Virgin Islands;Charlotte Amalie;North America;99465;100442;102803;106142;108185;100685;96640;63446;347;2.866.427;0.9937;0
133;URY;Uruguay;Montevideo;South America;3422794;3429086;3402818;3352651;3292224;3117012;2953750;2790265;181034;189.069;0.999;0.04
43;UZB;Uzbekistan;Tashkent;Asia;34627652;33526656;30949417;28614227;24925554;20579100;15947129;12011361;447400;773.975;1.016;0.43
181;VUT;Vanuatu;Port-Vila;Oceania;326740;311685;276438;245453;192074;150882;118156;87019;12189;268.061;10.238;0
234;VAT;Vatican City;Vatican City;Europe;510;520;564;596;651;700;733;752;1;510;0.998;0
51;VEN;Venezuela;Caracas;South America;28301696;28490453;30529716;28715022;24427729;19750579;15210443;11355475;916445;30.882;10.036;0.35
16;VNM;Vietnam;Hanoi;Asia;98186856;96648685;92191398;87411012;79001142;66912613;52968270;41928849;331212;2.964.472;10.074;1.23
226;WLF;Wallis and Futuna;Mata-Utu;Oceania;11572;11655;12182;13142;14723;13454;11315;9377;142;81.493;0.9953;0
172;ESH;Western Sahara;El Aaiún;Africa;575986;556048;491824;413296;270375;178529;116775;76371;266000;21.654;10.184;0.01
46;YEM;Yemen;Sanaa;Asia;33696614;32284046;28516545;24743946;18628700;13375121;9204938;6843607;527968;638.232;10.217;0.42
63;ZMB;Zambia;Lusaka;Africa;20017675;18927715;16248230;13792086;9891136;7686401;5720438;4281671;752612;265.976;1.028;0.25
74;ZWE;Zimbabwe;Harare;Africa;16320537;15669666;14154937;12839771;11834676;10113893;7049926;5202918;390757;417.665;10.204;0.2
